G: 1, P: 1, M: 13,PKTLEN: 1024, GENER_SPEED: 7056.88, CPU_USAGE: 61.2944, MEM_USAGE: 28.7156, Perfor: 4.00935
G: 1, P: 1, M: 13,PKTLEN: 1280, GENER_SPEED: 8930, CPU_USAGE: 60.6589, MEM_USAGE: 28.73, Perfor: 5.12414
G: 1, P: 1, M: 13,PKTLEN: 1500, GENER_SPEED: 10229.8, CPU_USAGE: 60.4822, MEM_USAGE: 28.73, Perfor: 5.88713
G: 1, P: 1, M: 15,PKTLEN: 64, GENER_SPEED: 437.15, CPU_USAGE: 68.3978, MEM_USAGE: 25.0133, Perfor: 0.255516
G: 1, P: 1, M: 15,PKTLEN: 128, GENER_SPEED: 853.025, CPU_USAGE: 68.2522, MEM_USAGE: 27.6322, Perfor: 0.452303
G: 1, P: 1, M: 15,PKTLEN: 256, GENER_SPEED: 1595.97, CPU_USAGE: 68.2789, MEM_USAGE: 30.6267, Perfor: 0.763199
G: 1, P: 1, M: 15,PKTLEN: 512, GENER_SPEED: 3184.28, CPU_USAGE: 68.2489, MEM_USAGE: 32.4467, Perfor: 1.43795
G: 1, P: 1, M: 15,PKTLEN: 1024, GENER_SPEED: 6482.52, CPU_USAGE: 69.5289, MEM_USAGE: 33.0522, Perfor: 2.82084
G: 1, P: 1, M: 15,PKTLEN: 1280, GENER_SPEED: 8611.98, CPU_USAGE: 68.5222, MEM_USAGE: 33.14, Perfor: 3.79244
G: 1, P: 1, M: 15,PKTLEN: 1500, GENER_SPEED: 9985.15, CPU_USAGE: 68.5078, MEM_USAGE: 33.14, Perfor: 4.39807
G: 2, P: 2, M: 3,PKTLEN: 64, GENER_SPEED: 696.9, CPU_USAGE: 29.76, MEM_USAGE: 5.54111, Perfor: 4.22611
G: 2, P: 2, M: 3,PKTLEN: 128, GENER_SPEED: 1179.6, CPU_USAGE: 29.7411, MEM_USAGE: 6.56222, Perfor: 6.04403
G: 2, P: 2, M: 3,PKTLEN: 256, GENER_SPEED: 2205.05, CPU_USAGE: 30.0344, MEM_USAGE: 6.64, Perfor: 11.0568
G: 2, P: 2, M: 3,PKTLEN: 512, GENER_SPEED: 3755.53, CPU_USAGE: 30.4122, MEM_USAGE: 6.64, Perfor: 18.5975
G: 2, P: 2, M: 3,PKTLEN: 1024, GENER_SPEED: 6177.18, CPU_USAGE: 31.17, MEM_USAGE: 6.65, Perfor: 29.8011
G: 2, P: 2, M: 3,PKTLEN: 1280, GENER_SPEED: 6730.27, CPU_USAGE: 31.3744, MEM_USAGE: 6.65, Perfor: 32.2578
G: 2, P: 2, M: 3,PKTLEN: 1500, GENER_SPEED: 7744.25, CPU_USAGE: 31.4878, MEM_USAGE: 6.65, Perfor: 36.9841
G: 2, P: 2, M: 5,PKTLEN: 64, GENER_SPEED: 740.95, CPU_USAGE: 36.0567, MEM_USAGE: 8.86, Perfor: 2.31937
